REF_DATE,GEO,Trade flow detail,Product,SCALAR_FACTOR,VALUE,STATUS
2008,Newfoundland and Labrador,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,663.3,
2008,Newfoundland and Labrador,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,374.7,
2008,Newfoundland and Labrador,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,23.7,
2008,Newfoundland and Labrador,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,21.8,
2008,Newfoundland and Labrador,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,14.8,
2008,Newfoundland and Labrador,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.3,
2008,Newfoundland and Labrador,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,To Yukon,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Newfoundland and Labrador,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,62.5,
2008,Newfoundland and Labrador,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,13.7,
2008,Newfoundland and Labrador,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,226.1,
2008,Newfoundland and Labrador,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,39.4,
2008,Prince Edward Island,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,135.0,
2008,Prince Edward Island,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,148.2,
2008,Prince Edward Island,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.8,
2008,Prince Edward Island,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,94.3,
2008,Prince Edward Island,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.8,
2008,Prince Edward Island,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,24.0,
2008,Prince Edward Island,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.6,
2008,Prince Edward Island,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.5,
2008,Prince Edward Island,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Prince Edward Island,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.1,
2008,Prince Edward Island,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,31.7,
2008,Prince Edward Island,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,37.3,
2008,Prince Edward Island,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,22.2,
2008,Prince Edward Island,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.4,
2008,Nova Scotia,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,345.3,
2008,Nova Scotia,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,706.0,
2008,Nova Scotia,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.1,
2008,Nova Scotia,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,23.1,
2008,Nova Scotia,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,292.9,
2008,Nova Scotia,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,95.5,
2008,Nova Scotia,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,30.9,
2008,Nova Scotia,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.3,
2008,Nova Scotia,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.4,
2008,Nova Scotia,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Nova Scotia,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.8,
2008,Nova Scotia,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Nova Scotia,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,161.0,
2008,Nova Scotia,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,49.3,
2008,Nova Scotia,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,252.2,
2008,Nova Scotia,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.1,
2008,New Brunswick,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,350.2,
2008,New Brunswick,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,281.8,
2008,New Brunswick,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.5,
2008,New Brunswick,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,13.2,
2008,New Brunswick,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,8.1,
2008,New Brunswick,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,25.8,
2008,New Brunswick,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,13.3,
2008,New Brunswick,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.3,
2008,New Brunswick,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.2,
2008,New Brunswick,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,New Brunswick,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.1,
2008,New Brunswick,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,New Brunswick,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,40.7,
2008,New Brunswick,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,161.3,
2008,New Brunswick,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,215.3,
2008,New Brunswick,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,163.2,
2008,Quebec,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,280.4,
2008,Quebec,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,102.9,
2008,Quebec,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Quebec,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,56.2,
2008,Ontario,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,281.2,
2008,Ontario,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,To Northwest Territories,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,55.5,
2008,Ontario,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Ontario,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,177.7,
2008,Manitoba,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,48.3,
2008,Manitoba,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,22.2,
2008,Manitoba,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Manitoba,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2008,Saskatchewan,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
